Timestamp,Game ID:,Match Date:,Match Type:,1st Place (Player ID):,1st Place (Corp):,1st Place (Score):,2nd Place (Player ID):,2nd Place (Corp):,2nd Place (Score):,3rd Place (Player ID):,3rd Place (Corp):,3rd Place (Score):,(*For Ties Only*) 1st Place (MC):,(*For Ties Only*) 2nd Place (MC):,(*For Ties Only*) 3rd Place (MC):,Video:,Discord Post:
7/1/2021 13:47:33,A0010,7/1/2021,Season 2,Zzani,Ecoline,82,Deginald,Saturn Systems,78,Keenankj,Helion,73,,,,,"1st - Zzani (82 VP, Ecoline) // 2nd - Deginald (78 VP, Saturn Systems) // 3rd - Keenankj (73 VP, Helion)"
7/2/2021 14:58:16,A0004,7/2/2021,Season 2,Belemil,Teractor,92,LuisXIV,Phobolog,82,Polukranos,Credicor,79,,,,,"1st - Belemil (92 VP, Teractor) // 2nd - LuisXIV (82 VP, Phobolog) // 3rd - Polukranos (79 VP, Credicor)"
7/3/2021 14:51:42,A0005,7/3/2021,Season 2,Martinaturis,Saturn Systems,89,Inspe,Credicor,82,Ladyfromafar,Tharsis Republic,76,,,,,"1st - Martinaturis (89 VP, Saturn Systems) // 2nd - Inspe (82 VP, Credicor) // 3rd - Ladyfromafar (76 VP, Tharsis Republic)"
7/4/2021 5:25:20,A0022,7/4/2021,Season 2,Mały Farciarz,Interplanetary Cinematics,96,regolith eaters,Ecoline,75,Nekiyan,Mining Guild,64,,,,,"1st - Mały Farciarz (96 VP, Interplanetary Cinematics) // 2nd - regolith eaters (75 VP, Ecoline) // 3rd - Nekiyan (64 VP, Mining Guild)"
7/4/2021 6:17:04,A0023,7/4/2020,Season 2,MorianDavis,Saturn Systems,94,Dacruise,Tharsis Republic,85,efharisto,Ecoline,82,,,,,"1st - MorianDavis (94 VP, Saturn Systems) // 2nd - Dacruise (85 VP, Tharsis Republic) // 3rd - efharisto (82 VP, Ecoline)"
7/4/2021 11:09:27,A0024,7/4/2021,Season 2,Rinmay87,Credicor,86,Andre_Kappa,Interplanetary Cinematics,85,CaptainTSR,Teractor,85,,70,58,,"1st - Rinmay87 (86 VP, Credicor) // 2nd - Andre_Kappa (85 VP, Interplanetary Cinematics) // 3rd - CaptainTSR (85 VP, Teractor)"
7/5/2021 14:42:25,A0006,7/5/2021,Season 2,LambTree,Teractor,95,jszhmann,Inventrix,57,Flery,Helion,54,,,,,"1st - LambTree (95 VP, Teractor) // 2nd - jszhmann (57 VP, Inventrix) // 3rd - Flery (54 VP, Helion)"
7/5/2021 15:12:18,A0007,7/5/2021,Season 2,Vinkepl,Inventrix,109,Smior,Saturn Systems,86,Finnsane,Mining Guild,76,,,,,"1st - Vinkepl (109 VP, Inventrix) // 2nd - Smior (86 VP, Saturn Systems) // 3rd - Finnsane (76 VP, Mining Guild)"
7/5/2021 19:53:26,A0030,7/5/2021,Season 2,teamsquish,Thorgate,82,griefdog,Credicor,63,zebraheist,Teractor,54,,,,,"1st - teamsquish (82 VP, Thorgate) // 2nd - griefdog (63 VP, Credicor) // 3rd - zebraheist (54 VP, Teractor)"
7/5/2021 20:21:09,A0031,7/5/2021,Season 2,ThreadPacifist,Mining Guild,71,tmfan,Inventrix,64,GoBirds,Thorgate,63,,,,,"1st - ThreadPacifist (71 VP, Mining Guild) // 2nd - tmfan (64 VP, Inventrix) // 3rd - GoBirds (63 VP, Thorgate)"
